="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Ease of payment",="0.045***",="0.056***",="0.029**",="0.044***",="",="",="",=""
="",="(0.001)",="(0.000)",="(0.041)",="(0.000)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="0.039",="0.018",="0.005",="0.012"
="",="",="",="",="",="(0.151)",="(0.177)",="(0.867)",="(0.266)"
="Wall quality",="",="",="0.025**",="0.021**",="0.011",="0.014**",="0.026**",="0.013**"
="",="",="",="(0.049)",="(0.004)",="(0.272)",="(0.042)",="(0.013)",="(0.008)"
="Roof quality",="",="",="0.005",="-0.000",="0.004",="-0.001",="0.017**",="-0.009"
="",="",="",="(0.411)",="(0.973)",="(0.528)",="(0.761)",="(0.034)",="(0.101)"
="Erosion threat",="",="",="0.017",="-0.004",="-0.005",="-0.009",="-0.001",="-0.006"
="",="",="",="(0.117)",="(0.429)",="(0.682)",="(0.216)",="(0.927)",="(0.225)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="5572",="8133",="4551",="5150",="5390",="5405",="5172",="5179"
="Clusters",="79",="80",="66",="66",="82",="82",="77",="77"
="Mean",=".376",=".072",=".352",=".065",=".447",=".11",=".403",=".06"
