="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="Ease of payment",="0.037",="0.072***",="0.016",="0.053**",="",="",="",=""
="",="(0.033)",="(0.017)",="(0.036)",="(0.021)",="",="",="",=""
="Predicted Ease of payment",="",="",="",="",="-0.141*",="0.068*",="0.034",="0.031"
="",="",="",="",="",="(0.072)",="(0.038)",="(0.075)",="(0.043)"
="Not very much confidence",="-0.164",="-0.007",="-0.228*",="-0.029",="0.042",="-0.143*",="0.125",="0.081"
="",="(0.111)",="(0.059)",="(0.126)",="(0.043)",="(0.127)",="(0.079)",="(0.169)",="(0.097)"
="Some confidence",="0.008",="0.012",="0.015",="0.048",="-0.063",="-0.112*",="0.000",="0.040"
="",="(0.070)",="(0.038)",="(0.080)",="(0.036)",="(0.082)",="(0.062)",="(0.103)",="(0.039)"
="A lot of confidence",="-0.131**",="-0.008",="-0.134*",="0.048",="0.014",="-0.096*",="0.014",="0.007"
="",="(0.065)",="(0.035)",="(0.077)",="(0.029)",="(0.087)",="(0.056)",="(0.099)",="(0.028)"
="Wall quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Roof quality ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Erosion threat ",="No",="No",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="583",="755",="446",="487",="294",="294",="280",="281"
="Clusters",="77",="78",="62",="62",="66",="66",="68",="68"
="Mean",=".433",=".098",=".404",=".073",=".449",=".095",=".511",=".057"
